exp_name,task_type,model_arch,model_size,rep,N,n_size,D,K,K_list,G,encoding,n_layer,n_embd,n_head,lr,wd,nsteps,support_size,stat_mem_frac,stat_mem_thresh,rule_onset_acc85,rule_onset_acc90,rule_onset_acc95,row_onset_90,col_onset_90,block_onset_90,mem_onset_mem10,mem_onset_mem20,mem_onset_mem35,mem_onset_mem50,mem_onset_stat,novel_onset_01,novel_onset_05,novel_onset_09
DiT_B_latinSq_n5_N4096_onehot,latinSq,DiT,B,1,4096,5.0,,,,,onehot,12.0,768.0,12.0,0.0001,,1000000,161280,0.025396825396825397,0.1253968253968254,29712.0,348832.0,,28944.0,40208.0,,59216.0,444064.0,,,140960.0,1412.0,6280.0,
DiT_B_latinSq_n5_N4096_scalar,latinSq,DiT,B,1,4096,5.0,,,,,scalar,12.0,768.0,12.0,0.0001,,1000000,161280,0.025396825396825397,0.1253968253968254,9224.0,12560.0,16144.0,9736.0,9224.0,,28688.0,50512.0,458400.0,516768.0,31504.0,268.0,340.0,14352.0
DiT_B_latinSq_n6_N4096_onehot,latinSq,DiT,B,1,4096,6.0,,,,,onehot,12.0,768.0,12.0,0.0001,,1000000,812851200,5.0390526581002774e-06,0.1000050390526581,148128.0,,,131744.0,,,,,,,,2724.0,19984.0,
DiT_B_latinSq_n6_N4096_scalar,latinSq,DiT,B,1,4096,6.0,,,,,scalar,12.0,768.0,12.0,0.0001,,1000000,812851200,5.0390526581002774e-06,0.1000050390526581,16144.0,85840.0,,16144.0,24848.0,,174752.0,212640.0,271008.0,356000.0,174752.0,548.0,7560.0,85840.0
DiT_mini_exactK_N4096_D36_K12,exactK,DiT,mini,1,4096,,36.0,12.0,,,,6.0,384.0,6.0,0.0001,,1000000,1251677700,3.2724079050062168e-06,0.100003272407905,2596.0,3172.0,5256.0,,,,657056.0,803488.0,,,657056.0,324.0,996.0,3172.0
DiT_mini_exactK_N4096_D36_K18,exactK,DiT,mini,1,4096,,36.0,18.0,,,,6.0,384.0,6.0,0.0001,,1000000,9075135300,4.5134313314314994e-07,0.10000045134313315,3460.0,4132.0,4932.0,,,,580256.0,726688.0,970400.0,,580256.0,412.0,1988.0,4132.0
DiT_mini_exactK_N4096_D36_K3,exactK,DiT,mini,1,4096,,36.0,3.0,,,,6.0,384.0,6.0,0.0001,,1000000,7140,0.5736694677871148,0.6736694677871148,1860.0,2292.0,4196.0,,,,404.0,612.0,804.0,2148.0,511648.0,460.0,,
DiT_mini_exactK_N4096_D36_K4,exactK,DiT,mini,1,4096,,36.0,4.0,,,,6.0,384.0,6.0,0.0001,,1000000,58905,0.06953569306510483,0.16953569306510485,1844.0,1956.0,2628.0,,,,241312.0,290464.0,333472.0,392864.0,281248.0,404.0,820.0,5000.0
DiT_mini_exactK_N4096_D36_K6,exactK,DiT,mini,1,4096,,36.0,6.0,,,,6.0,384.0,6.0,0.0001,,1000000,1947792,0.002102893943501154,0.10210289394350117,2196.0,2852.0,3780.0,,,,341664.0,416416.0,535200.0,758432.0,341664.0,396.0,1044.0,2852.0
DiT_mini_exactK_N4096_D36_K8,exactK,DiT,mini,1,4096,,36.0,8.0,,,,6.0,384.0,6.0,0.0001,,1000000,30260340,0.00013535869061616625,0.10013535869061617,1924.0,3268.0,5000.0,,,,418464.0,538272.0,717472.0,968352.0,418464.0,364.0,916.0,3268.0
DiT_mini_exactK_N4096_D36_K9,exactK,DiT,mini,1,4096,,36.0,9.0,,,,6.0,384.0,6.0,0.0001,,1000000,94143280,4.350815055519629e-05,0.1000435081505552,2084.0,2532.0,7304.0,,,,518816.0,657056.0,898720.0,,518816.0,332.0,1028.0,2532.0
DiT_mini_globalK15_n6_N4096,globalK,DiT,mini,1,4096,6.0,,,"[1, 5]",,,6.0,384.0,6.0,0.0001,,1000000,93312,0.0438957475994513,0.1438957475994513,1220.0,1620.0,2436.0,628.0,,,649888.0,747168.0,828064.0,917152.0,703136.0,532.0,676.0,2116.0
DiT_mini_globalK24_n6_N4096,globalK,DiT,mini,1,4096,6.0,,,"[2, 4]",,,6.0,384.0,6.0,0.0001,,1000000,22781250,0.00017979698216735255,0.10017979698216736,3364.0,4356.0,5640.0,2692.0,,,565920.0,753312.0,,,570016.0,1764.0,2532.0,4356.0
DiT_mini_latinSq_n5_N4096_onehot,latinSq,DiT,mini,1,4096,5.0,,,,,onehot,6.0,384.0,6.0,0.0001,,1000000,161280,0.025396825396825397,0.1253968253968254,78160.0,778912.0,,442016.0,63312.0,,112288.0,,,,194208.0,3460.0,10768.0,
DiT_mini_latinSq_n5_N4096_scalar,latinSq,DiT,mini,1,4096,5.0,,,,,scalar,6.0,384.0,6.0,0.0001,,1000000,161280,0.025396825396825397,0.1253968253968254,16656.0,25616.0,37392.0,18192.0,16656.0,,59216.0,116384.0,832160.0,975520.0,65360.0,340.0,348.0,33040.0
DiT_mini_latinSq_n6_N4096_onehot,latinSq,DiT,mini,1,4096,6.0,,,,,onehot,6.0,384.0,6.0,0.0001,,1000000,812851200,5.0390526581002774e-06,0.1000050390526581,,,,642720.0,,,,,,,,11280.0,43792.0,
DiT_mini_latinSq_n6_N4096_onehot_zeromean_autoSD,latinSq,DiT,mini,1,4096,6.0,,,,,onehot,6.0,384.0,6.0,0.0001,,1000000,812851200,5.0390526581002774e-06,0.1000050390526581,262816.0,,,,258720.0,,,,,,,2564.0,17424.0,
DiT_mini_latinSq_n6_N4096_onehot_zeroone_autoSD,latinSq,DiT,mini,1,4096,6.0,,,,,onehot,6.0,384.0,6.0,0.0001,,1000000,812851200,5.0390526581002774e-06,0.1000050390526581,,,,,465568.0,,,,,,,3556.0,19216.0,
DiT_mini_latinSq_n6_N4096_scalar,latinSq,DiT,mini,1,4096,6.0,,,,,scalar,6.0,384.0,6.0,0.0001,,1000000,812851200,5.0390526581002774e-06,0.1000050390526581,,,,,,,585376.0,884384.0,,,585376.0,772.0,18960.0,
DiT_mini_parity_N32768_D36_G4_even_rep2,parity,DiT,mini,2,32768,,36.0,,,4.0,,6.0,384.0,6.0,0.0001,0.0,1000000,134217728,0.000244140625,0.100244140625,,,,,,,,,,,,,,
DiT_mini_parity_N32768_D36_G4_even_rep3,parity,DiT,mini,3,32768,,36.0,,,4.0,,6.0,384.0,6.0,0.0001,0.0,1000000,134217728,0.000244140625,0.100244140625,,,,,,,,,,,,,,
DiT_mini_parity_N32768_D36_G6_even_rep2,parity,DiT,mini,2,32768,,36.0,,,6.0,,6.0,384.0,6.0,0.0001,0.0,1000000,1073741824,3.0517578125e-05,0.100030517578125,,,,,,,,,,,,,,
DiT_mini_parity_N32768_D36_G6_even_rep3,parity,DiT,mini,3,32768,,36.0,,,6.0,,6.0,384.0,6.0,0.0001,0.0,1000000,1073741824,3.0517578125e-05,0.100030517578125,,,,,,,,,,,,,,
DiT_mini_parity_N4096_D36_G12_even_rep2,parity,DiT,mini,2,4096,,36.0,,,12.0,,6.0,384.0,6.0,0.0001,,1000000,8589934592,4.76837158203125e-07,0.10000047683715821,,,,,,,541344.0,698016.0,989856.0,,541344.0,484.0,,
DiT_mini_parity_N4096_D36_G18_even_rep2,parity,DiT,mini,2,4096,,36.0,,,18.0,,6.0,384.0,6.0,0.0001,,1000000,17179869184,2.384185791015625e-07,0.10000023841857911,,,,,,,435872.0,557728.0,819872.0,,435872.0,188.0,,
DiT_mini_parity_N4096_D36_G2_even_rep2,parity,DiT,mini,2,4096,,36.0,,,2.0,,6.0,384.0,6.0,0.0001,,1000000,262144,0.015625,0.115625,756.0,1108.0,1444.0,436.0,,,357024.0,417440.0,528032.0,684704.0,362144.0,412.0,500.0,1108.0
DiT_mini_parity_N4096_D36_G36_even_rep2,parity,DiT,mini,2,4096,,36.0,,,36.0,,6.0,384.0,6.0,0.0001,,1000000,34359738368,1.1920928955078125e-07,0.10000011920928956,,,,,,,481952.0,638624.0,935584.0,,481952.0,276.0,8584.0,
DiT_mini_parity_N4096_D36_G3_even_rep2,parity,DiT,mini,2,4096,,36.0,,,3.0,,6.0,384.0,6.0,0.0001,,1000000,16777216,0.000244140625,0.100244140625,17680.0,17680.0,17680.0,17168.0,,,534176.0,678560.0,885408.0,,534176.0,17168.0,17168.0,17680.0
DiT_mini_parity_N4096_D36_G4_even_rep2,parity,DiT,mini,2,4096,,36.0,,,4.0,,6.0,384.0,6.0,0.0001,,1000000,134217728,3.0517578125e-05,0.100030517578125,104096.0,104096.0,104096.0,104096.0,,,677536.0,838304.0,,,677536.0,101024.0,104096.0,104096.0
DiT_mini_parity_N4096_D36_G6_even_lr1e3,parity,DiT,mini,1,4096,,36.0,,,6.0,,6.0,384.0,6.0,0.001,,1000000,1073741824,3.814697265625e-06,0.10000381469726563,,,,,,,,,,,,,,
DiT_mini_parity_N4096_D36_G6_even_lr1e4,parity,DiT,mini,1,4096,,36.0,,,6.0,,6.0,384.0,6.0,0.0001,,1000000,1073741824,3.814697265625e-06,0.10000381469726563,191136.0,191136.0,191136.0,181920.0,,,557728.0,730784.0,,,557728.0,156320.0,191136.0,191136.0
DiT_mini_parity_N4096_D36_G6_even_lr1e5,parity,DiT,mini,1,4096,,36.0,,,6.0,,6.0,384.0,6.0,1e-05,,1000000,1073741824,3.814697265625e-06,0.10000381469726563,612000.0,615072.0,615072.0,610976.0,,,,,,,,576160.0,610976.0,615072.0
DiT_mini_parity_N4096_D36_G6_even_lr3e3,parity,DiT,mini,1,4096,,36.0,,,6.0,,6.0,384.0,6.0,0.003,,1000000,1073741824,3.814697265625e-06,0.10000381469726563,,,,,,,,,,,,,,
